DEPARTMENT|EMPLOYEE_ID|SALARY
D6|305|13315$
D1|306|4765$
D2|307|11690$
D5|308|13992$
D2|309|12019$
D5|310|14919$
D6|311|9808$
D4|312|14688$
D4|313|9550$
D1|314|4905$
D5|315|10839$
D4|316|7552$
D3|317|11686$
D4|318|7823$
D2|319|11418$
D3|320|13481$
D2|321|4914$
D2|322|13223$
D3|323|10326$
D4|324|14209$
D6|325|8752$
D3|326|9851$
D1|327|13269$
D4|328|13662$
D4|329|11104$
D5|330|5396$
D5|331|4756$
D5|332|7908$
D5|333|12437$
D3|334|8217$
D2|335|13574$
D5|336|8325$
D1|337|6083$
D6|338|5394$
D4|339|7231$
D3|340|13477$
D5|341|10646$
D4|342|11893$
D5|343|5647$
D3|344|11630$
D3|345|12151$
D2|346|6037$
D4|347|7038$
D1|348|9287$
D5|349|8625$
D5|350|6162$
D4|351|8542$
D5|352|8721$
D6|353|7252$
D2|354|8197$
D4|355|14357$
D3|356|12107$
D1|357|11547$
D6|358|9653$
D6|359|12541$
D5|360|6994$
D2|361|7036$
D5|362|14943$
D4|363|9431$
D6|364|9548$
D2|365|11780$
D4|366|13067$
D4|367|13884$
D1|368|6518$
D5|369|8027$
D6|370|7048$
D4|371|14988$
D1|372|8721$
D4|373|10234$
D5|374|8093$
D4|375|11339$
D1|376|11476$
D3|377|10737$
D3|378|7690$
D2|379|12810$
D1|380|14743$
D2|381|11575$
D3|382|12185$
D3|383|14988$
D6|384|9908$
D2|385|13686$
D4|386|5032$
D5|387|5011$
D4|388|13119$
D4|389|12524$
D5|390|10138$
D4|391|6282$
D2|392|9389$
D5|393|10168$
D2|394|7836$
D5|395|4137$
D1|396|11913$
D5|397|13824$
D4|398|7186$
D1|399|4073$
D1|400|6385$
D6|401|10698$
D1|402|4950$
D2|403|10855$
D4|404|8451$
D5|405|9261$
D2|406|7167$
D3|407|8883$
D3|408|10594$
D5|409|4306$
D6|410|13953$
D1|411|5511$
D5|412|5182$
D4|413|14411$
D6|414|8345$
D3|415|7994$
D5|416|8761$
D3|417|13263$
D6|418|5300$
D1|419|7537$
D3|420|14957$
D2|421|9260$
D4|422|10489$
D1|423|14402$
D5|424|12063$
D6|425|13113$
D5|426|4836$
D3|427|10918$
D3|428|10682$
D4|429|13781$
D2|430|11318$
D5|431|7996$
D3|432|13169$
D2|433|4208$
D2|434|13204$
D6|435|9361$
D5|436|10942$
D1|437|9799$
D4|438|8664$
D1|439|12009$
D1|440|4838$
D3|441|14262$
D1|442|14125$
D5|443|11286$
D4|444|7229$
D1|445|4659$
D4|446|11608$
D2|447|7066$
D1|448|4350$
D4|449|14928$
D3|450|11671$
D1|451|7021$
D4|452|14969$
D6|453|8975$
D3|454|12595$
D4|455|5522$
D5|456|5623$
D4|457|9363$
D1|458|10622$
D5|459|9680$
D4|460|13052$
D3|461|7197$
D1|462|14919$
D5|463|10604$
D4|464|6993$
D5|465|12566$
D6|466|10121$
D4|467|9279$
D1|468|7034$
D3|469|10275$
D1|470|5515$
D2|471|5835$
D6|472|9560$
D5|473|10292$
D2|474|8538$
D3|475|4088$
D6|476|11536$
D2|477|8145$
D3|478|5207$
D1|479|9257$
D3|480|12605$
D3|481|5174$
D1|482|7593$
D1|483|7406$
D3|484|10050$
D5|485|14271$
D2|486|4323$
D1|487|14279$
D1|488|10581$
D1|489|10343$
D1|490|12476$
D4|491|10517$
D2|492|9877$
D4|493|5826$
D5|494|8128$
D2|495|4290$
D4|496|6427$
D3|497|9599$
D4|498|11260$
D3|499|10169$
D6|500|12975$
D6|501|7679$
D5|502|9444$
D4|503|9600$
D5|504|6213$
D1|505|6773$
D5|506|14235$
D5|507|4581$
D4|508|8246$
D3|509|5649$
D3|510|4125$
D4|511|9047$
D2|512|9629$
D5|513|8857$
D3|514|9091$
D2|515|8241$
D3|516|9280$
D3|517|9722$
D2|518|4519$
D5|519|13037$
D5|520|13986$
D3|521|13960$
D2|522|9044$
D4|523|14327$
D6|524|7531$
D2|525|12609$
D1|526|7717$
D6|527|14513$
D6|528|9085$
D1|529|4562$
D2|530|10967$
D2|531|8918$
D3|532|14473$
D2|533|8471$
D4|534|11576$
D2|535|6725$
D2|536|12252$
D3|537|14128$
D3|538|13425$
D3|539|10320$
D2|540|4772$
D4|541|9223$
D2|542|4486$
D1|543|9138$
D2|544|14288$
D5|545|11880$
D3|546|13231$
D2|547|5161$
D2|548|5898$
D2|549|9831$
D5|550|13782$
D5|551|4837$
D5|552|8598$
D3|553|8570$
D1|554|10052$
D6|555|7958$
D6|556|4484$
D3|557|9331$
D2|558|11855$
D6|559|14904$
D5|560|7642$
D2|561|9912$
D2|562|13290$
D2|563|10308$
D4|564|10832$
D6|565|5848$
D2|566|7321$
D1|567|4584$
D3|568|6045$
D3|569|9538$
D1|570|11708$
D5|571|9018$
D1|572|14536$
D6|573|8323$
D6|574|9299$
D5|575|12971$
D3|576|7703$
D4|577|12140$
D5|578|5321$
D1|579|11190$
D2|580|7350$
D4|581|7748$
D2|582|10235$
D1|583|13419$
D6|584|5847$
D3|585|9407$
D1|586|7914$
D3|587|11650$
D4|588|7481$
D1|589|6568$
D1|590|9649$
D1|591|14252$
D3|592|11134$
D2|593|13004$
D5|594|10917$
D1|595|13140$
D6|596|5087$
D5|597|12487$
D1|598|9924$
D6|599|5342$
D3|600|4544$
D2|601|13995$
D2|602|14217$
D2|603|5470$
D5|604|9869$
D5|605|5418$
D5|606|11311$
D5|607|12196$
D2|608|10413$
D6|609|9795$
D3|610|13422$
D1|611|9608$
D5|612|14207$
D4|613|10262$
D5|614|9402$
D5|615|7760$
D6|616|13657$
D1|617|7063$
D3|618|4557$
D4|619|10458$
D3|620|13191$
D6|621|11470$
D2|622|11140$
D1|623|4758$
D2|624|13187$
D3|625|14193$
D4|626|10806$
D3|627|7256$
D6|628|11337$
D6|629|8882$
D6|630|6736$
D3|631|11850$
D3|632|11038$
D3|633|12288$
D2|634|9571$
D1|635|9480$
D3|636|8048$
D5|637|4010$
D5|638|13896$
D5|639|5819$
D5|640|10295$
D6|641|4135$
D4|642|5139$
D4|643|11660$
D4|644|12881$
D3|645|5101$
D2|646|12286$
D6|647|10322$
D6|648|9380$
D1|649|6280$
D6|650|13646$
D1|651|12314$
D5|652|11136$
D6|653|6433$
D5|654|9806$
D4|655|11517$
D3|656|11597$
D6|657|7141$
D3|658|12876$
D3|659|12282$
D6|660|13252$
D1|661|7831$
D1|662|11821$
D6|663|13642$
D2|664|14945$
D1|665|14498$
D4|666|4475$
D1|667|12810$
D3|668|10357$
D3|669|13505$
D2|670|12784$
D6|671|9470$
D4|672|7835$
D1|673|5046$
D4|674|10940$
D6|675|13549$
D1|676|6234$
D4|677|14721$
D4|678|6714$
D1|679|4400$
D6|680|8056$
D3|681|11770$
D1|682|9864$
D6|683|8206$
D4|684|8841$
D5|685|4460$
D3|686|11789$
D5|687|12978$
D1|688|10566$
D5|689|9049$
D1|690|9389$
D6|691|7668$
D4|692|13531$
D1|693|8668$
D5|694|10745$
D2|695|4835$
D2|696|4327$
D5|697|11925$
D1|698|10477$
D3|699|12495$
D1|700|5210$
D5|701|14495$
D1|702|10389$
D4|703|13480$
D3|704|4185$
D6|705|7929$
D2|706|5573$
D6|707|12239$
D6|708|6980$
D1|709|5965$
D2|710|4627$
D4|711|9582$
D4|712|5827$
D2|713|6272$
D6|714|10283$
D2|715|8235$
D4|716|11652$
D3|717|9429$
D5|718|11740$
D4|719|7910$
D1|720|5603$
D6|721|13909$
D5|722|14698$
D1|723|12383$
D5|724|5862$
D2|725|9860$
D2|726|10645$
D3|727|10900$
D5|728|8943$
D2|729|10740$
D5|730|7993$
D5|731|4477$
D3|732|13306$
D6|733|11862$
D5|734|6102$
D5|735|10930$
D6|736|5166$
D1|737|9874$
D4|738|12946$
D6|739|8189$
D3|740|10399$
D1|741|6702$
D5|742|7123$
D1|743|11050$
D6|744|9397$
D1|745|8326$
D2|746|11473$
D3|747|11875$
D4|748|14177$
D3|749|13200$
D3|750|12440$
D4|751|4940$
D1|752|12680$
D6|753|14954$
D4|754|13403$
D3|755|7850$
D1|756|5040$
D1|757|9260$
D3|758|14106$
D6|759|10504$
D1|760|8598$
D3|761|10231$
D3|762|8181$
D2|763|8093$
D6|764|7703$
D5|765|7782$
D3|766|7454$
D3|767|9233$
D4|768|13811$
D6|769|14839$
D3|770|7282$
D1|771|6278$
D1|772|5826$
D1|773|13232$
D1|774|13653$
D2|775|11586$
D5|776|12491$
D3|777|13583$
D1|778|6911$
D5|779|14027$
D4|780|14383$
D1|781|10066$
D2|782|14428$
D1|783|6645$
D5|784|13634$
D1|785|7566$
D4|786|13952$
D4|787|12080$
D5|788|14452$
D2|789|7613$
D3|790|14459$
D4|791|12232$
D4|792|8815$
D6|793|7682$
D4|794|4098$
D3|795|8019$
D6|796|7470$
D6|797|6193$
D2|798|6622$
D6|799|9217$
D6|800|7633$
D4|801|7433$
D4|802|9584$
D2|803|11061$
D6|804|7977$
D4|805|8465$
D6|806|10803$
D4|807|14186$
D2|808|13280$
D6|809|4227$
D1|810|12545$
D2|811|12865$
D3|812|14202$
D4|813|11471$
D1|814|12333$
D6|815|11299$
D6|816|10010$
D5|817|9401$
D1|818|8527$
D1|819|14392$
D3|820|10437$
D2|821|5096$
D3|822|11519$
D5|823|10130$
D5|824|4560$
D3|825|9406$
D1|826|4944$
D6|827|9623$
D4|828|8364$
D3|829|7241$
D6|830|9322$
D6|831|7690$
D3|832|7139$
D4|833|6979$
D4|834|14880$
D6|835|14471$
D5|836|6113$
D6|837|13253$
D4|838|9511$
D4|839|7623$
D6|840|5580$
D6|841|5997$
D1|842|6032$
D5|843|5520$
D2|844|6398$
D3|845|9470$
D4|846|8149$
D2|847|7915$
D6|848|6864$
D3|849|9004$
D2|850|5789$
D1|851|8537$
D1|852|5049$
D4|853|12782$
D6|854|12341$
D1|855|4775$
D1|856|12163$
D5|857|10366$
D3|858|12676$
D2|859|9159$
D1|860|14026$
D4|861|7048$
D6|862|9420$
D1|863|10444$
D2|864|10213$
D2|865|9068$
D4|866|7450$
D4|867|7051$
D6|868|10212$
D6|869|13953$
D2|870|11426$
D6|871|7976$
D5|872|14677$
D6|873|10924$
D4|874|5171$
D6|875|8267$
D6|876|13129$
D2|877|5843$
D4|878|8190$
D6|879|10361$
D2|880|11736$
D6|881|4182$
D2|882|14208$
D3|883|4517$
D3|884|11027$
D6|885|4833$
D1|886|11207$
D6|887|6499$
D5|888|6062$
D2|889|12264$
D4|890|11677$
D3|891|6792$
D3|892|9340$
D1|893|9238$
D3|894|9651$
D3|895|10164$
D6|896|13974$
D4|897|12307$
D3|898|12104$
D2|899|4325$
D5|900|14664$
D2|901|10362$
D2|902|5815$
D1|903|9990$
D1|904|5367$
D4|905|6267$
D2|906|10998$
D4|907|10267$
D3|908|13889$
D1|909|13463$
D4|910|10459$
D6|911|12821$
D4|912|13269$
D1|913|14520$
D3|914|9462$
D1|915|8057$
D6|916|12438$
D6|917|7477$
D2|918|9042$
D5|919|9464$
D6|920|11057$
D4|921|8740$
D2|922|13112$
D1|923|9458$
D1|924|4878$
D3|925|6625$
D1|926|7556$
D3|927|13041$
D4|928|8638$
D5|929|5663$
D2|930|12364$
D3|931|4271$
D3|932|10130$
D4|933|7909$
D6|934|4900$
D4|935|5327$
D1|936|4804$
D6|937|12041$
D6|938|6083$
D1|939|11431$
D4|940|13645$
D5|941|13033$
D5|942|12213$
D2|943|9320$
D1|944|8133$
D4|945|14573$
D3|946|9601$
D5|947|13033$
D1|948|7012$
D2|949|4337$
D5|950|4368$
D5|951|11062$
D5|952|12577$
D4|953|5260$
D2|954|4074$
D3|955|5939$
D6|956|9565$
D2|957|12244$
D4|958|4659$
D1|959|6574$
D5|960|10515$
D4|961|9497$
D3|962|13763$
D5|963|7646$
D5|964|10702$
D5|965|14897$
D5|966|13758$
D2|967|7682$
D6|968|13230$
D3|969|14930$
D4|970|13907$
D3|971|9917$
D4|972|11928$
D4|973|11687$
D5|974|4346$
D4|975|12298$
D6|976|4083$
D2|977|13163$
D4|978|4070$
D3|979|6941$
D2|980|4942$
D4|981|12381$
D2|982|9532$
D5|983|8563$
D3|984|9140$
D3|985|14776$
D4|986|4887$
D4|987|5994$
D5|988|4107$
D4|989|7573$
D5|990|6524$
D5|991|12730$
D4|992|8390$
D4|993|11466$
D4|994|14831$
D4|995|11658$
D5|996|10972$
D3|997|12667$
D4|998|5395$
D2|999|12217$
D5|1000|12514$
D6|1001|9869$
D6|1002|9472$
D5|1003|6260$
D4|1004|5522$
D5|1005|8667$
D4|1006|10857$
D1|1007|14810$
D3|1008|11248$
D4|1009|11966$
D1|1010|13898$
D5|1011|12692$
D3|1012|4011$
D1|1013|14552$
D5|1014|10381$
D1|1015|11688$
D2|1016|9039$
D2|1017|12922$
D4|1018|7377$
D4|1019|9667$
D3|1020|14724$
D1|1021|10518$
D1|1022|11422$
D2|1023|6189$
D1|1024|11915$
D4|1025|6531$
D3|1026|12572$
D5|1027|12484$
D5|1028|10061$
D5|1029|13673$
D5|1030|13711$
D2|1031|5463$
D5|1032|7070$
D1|1033|13484$
D4|1034|8982$
D4|1035|10421$
D1|1036|12026$
D1|1037|4486$
D4|1038|12611$
D4|1039|12738$
D3|1040|13898$
D6|1041|9501$
D6|1042|5509$
D4|1043|7310$
D6|1044|9063$
D4|1045|7126$
D4|1046|13787$
D6|1047|5450$
D1|1048|12541$
D6|1049|8167$
D5|1050|4081$
D3|1051|13115$
D1|1052|5214$
D1|1053|8064$
D2|1054|9494$
D5|1055|11560$
D1|1056|9953$
D6|1057|13107$
D2|1058|14676$
D2|1059|6413$
D5|1060|11773$
D6|1061|6998$
D4|1062|4365$
D1|1063|13054$
D5|1064|9423$
D2|1065|14530$
D1|1066|11918$
D4|1067|5038$
D1|1068|8809$
D1|1069|14537$
D2|1070|9275$
D5|1071|5544$
D4|1072|14880$
D2|1073|10872$
D6|1074|5404$
D5|1075|14628$
D4|1076|7029$
D2|1077|5938$
D3|1078|8879$
D4|1079|13027$
D5|1080|9253$
D6|1081|13317$
D4|1082|14240$
D4|1083|14678$
D3|1084|8118$
D4|1085|13651$
D5|1086|10643$
D4|1087|9451$
D3|1088|13976$
D3|1089|10342$
D6|1090|14769$
D1|1091|13449$
D6|1092|11528$
D1|1093|13503$
D5|1094|14165$
D3|1095|12650$
D6|1096|4153$
D2|1097|5560$
D6|1098|4197$
D1|1099|11950$
D4|1100|5062$
D5|1101|14987$
D4|1102|8627$
D5|1103|14504$
D3|1104|7088$
D4|1105|14899$
D2|1106|10039$
D5|1107|8449$
D3|1108|7115$
D1|1109|7653$
D1|1110|11172$
D4|1111|6101$
D3|1112|12866$
D6|1113|10095$
D2|1114|8302$
D2|1115|7381$
D3|1116|6210$
D6|1117|12863$
D1|1118|4899$
D4|1119|9745$
D1|1120|4306$
D1|1121|14212$
D6|1122|14874$
D5|1123|8528$
D3|1124|14764$
D1|1125|6896$
D3|1126|13060$
D5|1127|6824$
D3|1128|5007$
D3|1129|4268$
D3|1130|11075$
D2|1131|10947$
D2|1132|5045$
D5|1133|13057$
D4|1134|9504$
D4|1135|6926$
D5|1136|10105$
D3|1137|12799$
D3|1138|4608$
D4|1139|5559$
D4|1140|8762$
D1|1141|5889$
D3|1142|8280$
D1|1143|4904$
D1|1144|5371$
D3|1145|13944$
D2|1146|4991$
D6|1147|12167$
D5|1148|14771$
D1|1149|8698$
D5|1150|14828$
D4|1151|4997$
D2|1152|10206$
D5|1153|11241$
D5|1154|13305$
D3|1155|14505$
D1|1156|14526$
D6|1157|12590$
D3|1158|11581$
D4|1159|9829$
D1|1160|5620$
D4|1161|7679$
D6|1162|9026$
D1|1163|4446$
D4|1164|6099$
D2|1165|10520$
D6|1166|10889$
D5|1167|8014$
D5|1168|9654$
D2|1169|12833$
D2|1170|6882$
D5|1171|8700$
D4|1172|8682$
D2|1173|5280$
D2|1174|8785$
D5|1175|14718$
D3|1176|8323$
D2|1177|7916$
D1|1178|9839$
D4|1179|6687$
D3|1180|12743$
D3|1181|7269$
D3|1182|7804$
D5|1183|11364$
D2|1184|14240$
D6|1185|10154$
D5|1186|8253$
D3|1187|11682$
D1|1188|10686$
D5|1189|8895$
D2|1190|8312$
D1|1191|11318$
D1|1192|14166$
D1|1193|5722$
D1|1194|9524$
D2|1195|6286$
D1|1196|10942$
D4|1197|4819$
D6|1198|5769$
D4|1199|12505$
D2|1200|14668$
D6|1201|6911$
D2|1202|13589$
D5|1203|5612$
D5|1204|10044$
D4|1205|14012$
D4|1206|11541$
D3|1207|14671$
D1|1208|7016$
D6|1209|12855$
D2|1210|14449$
D2|1211|10867$
D3|1212|12486$
D2|1213|4915$
D6|1214|11058$
D4|1215|5518$
D2|1216|9210$
D1|1217|10708$
D3|1218|5960$
D2|1219|4462$
D3|1220|9119$
D6|1221|13420$
D1|1222|10066$
D5|1223|14485$
D6|1224|4022$
D3|1225|4183$
D3|1226|12125$
D4|1227|7588$
D5|1228|10455$
D6|1229|8887$
D2|1230|8809$
D4|1231|4697$
D2|1232|7264$
D6|1233|10572$
D1|1234|14885$
D6|1235|13880$
D2|1236|13113$
D5|1237|13393$
D4|1238|14089$
D5|1239|8541$
D5|1240|8630$
D1|1241|8603$
D2|1242|10868$
D4|1243|11402$
D5|1244|4691$
D6|1245|10854$
D6|1246|8598$
D3|1247|4076$
D1|1248|6765$
D2|1249|6749$
D2|1250|8479$
D3|1251|4880$
D1|1252|7799$
D5|1253|12497$
D3|1254|10621$
D3|1255|11622$
D3|1256|8383$
D4|1257|14172$
D6|1258|4977$
D2|1259|9576$
D2|1260|6994$
D4|1261|12020$
D5|1262|7327$
D4|1263|5895$
D2|1264|13741$
D4|1265|13290$
D6|1266|11604$
D3|1267|12618$
D2|1268|4241$
D4|1269|11660$
D2|1270|5265$
D1|1271|14950$
D3|1272|5191$
D5|1273|6101$
D6|1274|14823$
D4|1275|10638$
D4|1276|9503$
D5|1277|9049$
D2|1278|5519$
D2|1279|5198$
D5|1280|14066$
D3|1281|7147$
D6|1282|13516$
D1|1283|8123$
D1|1284|10900$
D4|1285|12241$
D3|1286|5300$
D1|1287|6490$
D2|1288|8279$
D4|1289|6492$
D2|1290|12700$
D1|1291|7992$
D6|1292|11981$
D6|1293|5969$
D3|1294|13107$
D1|1295|13269$
D3|1296|13233$
D5|1297|12114$
D6|1298|11316$
D3|1299|8945$
D3|1300|7722$
D6|1301|14718$
D2|1302|4184$
D5|1303|5129$
D5|1304|13794$
D6|1305|12390$
D1|1306|13298$
D5|1307|12796$
D2|1308|6834$
D2|1309|12206$
D2|1310|14479$
D5|1311|11331$
D2|1312|4742$
D2|1313|11089$
D1|1314|14778$
D4|1315|5566$
D1|1316|13856$
D5|1317|7664$
D3|1318|14723$
D4|1319|5458$
D3|1320|9501$
D1|1321|5356$
D2|1322|14523$
D6|1323|12621$
D2|1324|7205$
D6|1325|5852$
D5|1326|11890$
D5|1327|9806$
D4|1328|14206$
D5|1329|10481$
D3|1330|6076$
D2|1331|9404$
D2|1332|12567$
D1|1333|5754$
D4|1334|12988$
D5|1335|7074$
D1|1336|9340$
D3|1337|5338$
D4|1338|7780$
D2|1339|5459$
D3|1340|10274$
D5|1341|10429$
D1|1342|6096$
D5|1343|12635$
D2|1344|8909$
D3|1345|10105$
D3|1346|14433$
D4|1347|13194$
D1|1348|6672$
D5|1349|13685$
D5|1350|7091$
D5|1351|5930$
D3|1352|8661$
D3|1353|8429$
D1|1354|11302$
D6|1355|13228$
D3|1356|5791$
D5|1357|5206$
D4|1358|7975$
D3|1359|12177$
D1|1360|9126$
D5|1361|11526$
D4|1362|13258$
D2|1363|13148$
D3|1364|10475$
D1|1365|14828$
D3|1366|7022$
D3|1367|7110$
D3|1368|13196$
D5|1369|14597$
D1|1370|8655$
D5|1371|11390$
D6|1372|9786$
D6|1373|10931$
D2|1374|12952$
D5|1375|7422$
D4|1376|5235$
D1|1377|13035$
D4|1378|4454$
D6|1379|5500$
D2|1380|4884$
D3|1381|7171$
D5|1382|6105$
D4|1383|6858$
D3|1384|14024$
D5|1385|9403$
D6|1386|13589$
D6|1387|4339$
D6|1388|13304$
D4|1389|6128$
D4|1390|9011$
D5|1391|8648$
D5|1392|6557$
D3|1393|12590$
D3|1394|13963$
D2|1395|10005$
D2|1396|10228$
D1|1397|10391$
D6|1398|8595$
D2|1399|13201$
D3|1400|12911$
D5|1401|13643$
D1|1402|11335$
D6|1403|10816$
D4|1404|7683$
D4|1405|10222$
D2|1406|9076$
D2|1407|14348$
D4|1408|13719$
D2|1409|5230$
D2|1410|5873$
D5|1411|9183$
D6|1412|14007$
D4|1413|9402$
D3|1414|11376$
D5|1415|14916$
D5|1416|9150$
D2|1417|13998$
D1|1418|5218$
D2|1419|14991$
D1|1420|14273$
D3|1421|13038$
D6|1422|7335$
D3|1423|14488$
D1|1424|7761$
D4|1425|8486$
D1|1426|9364$
D3|1427|11206$
D1|1428|4001$
D1|1429|11225$
D3|1430|10247$
D5|1431|4006$
D6|1432|5377$
D1|1433|10884$
D2|1434|6775$
D6|1435|6888$
D6|1436|13068$
D1|1437|11940$
D6|1438|4004$
D2|1439|12789$
D5|1440|5430$
D6|1441|8911$
D5|1442|13376$
D1|1443|10026$
D3|1444|14807$
D1|1445|5242$
D4|1446|12330$
D6|1447|8519$
D4|1448|13429$
D5|1449|14885$
D1|1450|8918$
D4|1451|11613$
D5|1452|5964$
D6|1453|14583$
D1|1454|12994$
D4|1455|6772$
D5|1456|7012$
D2|1457|11434$
D2|1458|8111$
D1|1459|10715$
D2|1460|6129$
D5|1461|8707$
D3|1462|13734$
D5|1463|13733$
D3|1464|8798$
D4|1465|7958$
D4|1466|14120$
D2|1467|9152$
D3|1468|7098$
D6|1469|13519$
D1|1470|5098$
D1|1471|11089$
D5|1472|9771$
D6|1473|9387$
D1|1474|13610$
D4|1475|12102$
D3|1476|13052$
D4|1477|10996$
D1|1478|7847$
D3|1479|5572$
D6|1480|8659$
D2|1481|4982$
D4|1482|12314$
D5|1483|10641$
D6|1484|8225$
D5|1485|14396$
D3|1486|6665$
D1|1487|4726$
D5|1488|5965$
D1|1489|12121$
D3|1490|6925$
D6|1491|5810$
D5|1492|13173$
D3|1493|4233$
